	action
(11, 3, IRRELEVANT)	WAIT
(11, 3, RELEVANT)	MATCH
(11, 3, ACTIVE)	WAIT
(11, 4, IRRELEVANT)	WAIT
(11, 4, RELEVANT)	MATCH
(11, 4, ACTIVE)	WAIT
(11, 5, IRRELEVANT)	WAIT
(11, 5, RELEVANT)	MATCH
(11, 5, ACTIVE)	WAIT
(11, 6, IRRELEVANT)	WAIT
(11, 6, RELEVANT)	MATCH
(11, 6, ACTIVE)	WAIT
(11, 7, IRRELEVANT)	WAIT
(11, 7, RELEVANT)	MATCH
(11, 7, ACTIVE)	WAIT
(11, 8, IRRELEVANT)	WAIT
(11, 8, RELEVANT)	MATCH
(11, 8, ACTIVE)	WAIT
(11, 9, IRRELEVANT)	WAIT
(11, 9, RELEVANT)	MATCH
(11, 9, ACTIVE)	WAIT
